tree_amount,attribute_amount,accuracy,error_rate,precision_macro,precision_micro,recall_macro,recall_micro,labels_M_vp,labels_M_fp,labels_M_fn,labels_M_precision,labels_M_recall,labels_M_f_measure,labels_B_vp,labels_B_fp,labels_B_fn,labels_B_precision,labels_B_recall,labels_B_f_measure
30,5,0.9821428571428571,0.017857142857142905,0.9864864864864865,0.9821428571428571,0.975,0.9821428571428571,19,0,1,1.0,0.95,0.9743589743589743,36,1,0,0.972972972972973,1.0,0.9863013698630138
30,5,0.9538461538461539,0.0461538461538461,0.9534632034632035,0.9538461538461539,0.9429175475687104,0.9538461538461539,20,1,2,0.9523809523809523,0.9090909090909091,0.9302325581395349,42,2,1,0.9545454545454546,0.9767441860465116,0.9655172413793104
35,5,0.9642857142857143,0.0357142857142857,0.9761904761904762,0.9642857142857143,0.9375,0.9642857142857143,14,0,2,1.0,0.875,0.9333333333333333,40,2,0,0.9523809523809523,1.0,0.975609756097561
35,5,1.0,0.0,1.0,1.0,1.0,1.0,19,0,0,1.0,1.0,1.0,37,0,0,1.0,1.0,1.0
35,5,0.9821428571428571,0.017857142857142905,0.9852941176470589,0.9821428571428571,0.9782608695652174,0.9821428571428571,22,0,1,1.0,0.9565217391304348,0.9777777777777777,33,1,0,0.9705882352941176,1.0,0.9850746268656716
35,5,0.9821428571428571,0.017857142857142905,0.9761904761904762,0.9821428571428571,0.9861111111111112,0.9821428571428571,20,1,0,0.9523809523809523,1.0,0.975609756097561,35,0,1,1.0,0.9722222222222222,0.9859154929577464
35,5,0.9642857142857143,0.0357142857142857,0.9655172413793103,0.9642857142857143,0.9655172413793103,0.9642857142857143,27,0,2,1.0,0.9310344827586207,0.9642857142857143,27,2,0,0.9310344827586207,1.0,0.9642857142857143
35,5,0.9821428571428571,0.017857142857142905,0.975,0.9821428571428571,0.9864864864864865,0.9821428571428571,19,1,0,0.95,1.0,0.9743589743589743,36,0,1,1.0,0.972972972972973,0.9863013698630138
35,5,0.9107142857142857,0.0892857142857143,0.8903508771929824,0.9107142857142857,0.9027149321266968,0.9107142857142857,15,3,2,0.8333333333333334,0.8823529411764706,0.8571428571428571,36,2,3,0.9473684210526315,0.9230769230769231,0.935064935064935
35,5,0.9464285714285714,0.0535714285714286,0.9558823529411764,0.9464285714285714,0.94,0.9464285714285714,22,0,3,1.0,0.88,0.9361702127659575,31,3,0,0.9117647058823529,1.0,0.9538461538461539
35,5,1.0,0.0,1.0,1.0,1.0,1.0,20,0,0,1.0,1.0,1.0,36,0,0,1.0,1.0,1.0
35,5,0.9538461538461539,0.0461538461538461,0.9544513457556936,0.9538461538461539,0.9461382113821137,0.9538461538461539,22,1,2,0.9565217391304348,0.9166666666666666,0.9361702127659574,40,2,1,0.9523809523809523,0.975609756097561,0.963855421686747
40,5,0.9464285714285714,0.0535714285714286,0.9478609625668449,0.9464285714285714,0.9413702239789197,0.9464285714285714,21,1,2,0.9545454545454546,0.9130434782608695,0.9333333333333332,32,2,1,0.9411764705882353,0.9696969696969697,0.955223880597015
40,5,0.9642857142857143,0.0357142857142857,0.967741935483871,0.9642857142857143,0.962962962962963,0.9642857142857143,25,0,2,1.0,0.9259259259259259,0.9615384615384615,29,2,0,0.9354838709677419,1.0,0.9666666666666666
40,5,0.9642857142857143,0.0357142857142857,0.9631093544137023,0.9642857142857143,0.9631093544137023,0.9642857142857143,22,1,1,0.9565217391304348,0.9565217391304348,0.9565217391304348,32,1,1,0.9696969696969697,0.9696969696969697,0.9696969696969697
40,5,0.9464285714285714,0.0535714285714286,0.9427083333333333,0.9464285714285714,0.9479578392621871,0.9464285714285714,22,2,1,0.9166666666666666,0.9565217391304348,0.9361702127659574,31,1,2,0.96875,0.9393939393939394,0.9538461538461539
